rX,rY,rZ,rSpeed,bX,bY,bSpeed,sX,sY,sZ,sSpeed,dAng,bAng,bZ,bowlerEnd
8.498,0.747432,1.88582,143.342,-0.50557,0.409492,121.929,-10.06,0.0918768,1.18209,110.003,13.1501,9.25276,0.0001,north
8.4711,0.765395,1.92239,142.926,-2.55881,0.446978,124.561,-10.06,0.249554,0.860242,110.488,11.4954,8.08076,0.0001,north
8.5431,0.803074,1.91385,145.752,-3.72604,0.505552,128.625,-10.06,0.445305,0.720785,117.242,10.9096,7.61722,0.0001,north
8.4335,0.757911,1.90803,140.799,-3.61572,0.32658,123.007,-10.06,0.0596725,0.700317,110.911,10.7951,7.47001,0.0001,north
-8.6361,0.434281,2.02012,142.017,1.79633,0.537503,121.589,10.06,0.663012,0.835951,116.839,12.5135,7.57274,0.0001,south
-8.5295,0.418485,2.0046,145.793,2.66327,0.345987,122.247,10.06,0.27443,0.796319,108.847,12.1893,7.74345,0.0001,south
-8.3816,0.496375,2.00124,142.735,1.67641,0.582483,124.925,10.06,0.630051,1.03024,110.956,12.7142,8.79899,0.0001,south
-8.4462,0.514111,1.9894,140.393,0.23207,0.679206,115.886,10.06,0.892678,1.12387,112.597,14.1195,9.01766,0.0001,south
-8.275,0.44768,1.98585,141.072,1.59645,0.62547,119.271,10.06,0.858651,1.00956,115.314,12.8042,8.53937,0.0001,south
-8.6499,0.377812,2.02664,149.172,3.97108,0.476436,125.264,10.06,0.498349,0.875388,115.841,11.3915,9.25958,0.0001,south
8.5255,-0.612213,1.94088,88.3041,-5.88608,-0.211378,74.3136,-10.06,-0.254189,0.651814,68.6499,15.2041,11.1664,0.0001,north
8.8535,-0.650912,1.94109,84.6848,-5.4752,-0.16826,69.4467,-10.06,-0.186657,0.753621,62.9662,15.5662,12.4804,0.0001,north
8.5624,-0.681402,1.97208,85.0053,-4.38116,-0.0419502,72.7269,-10.06,0.0504585,0.75043,65.2869,15.3593,11.1985,0.0001,north
8.6036,-0.609881,1.97336,84.8654,-4.80593,-0.0889139,70.0176,-10.06,-0.0862387,0.781867,62.7942,15.5789,12.1669,0.0001,north
8.6077,-0.626437,1.93908,86.1692,-3.09789,-0.0597345,70.5488,-10.06,-0.068242,0.879421,61.5002,15.7009,12.3465,0.0001,north
8.635,-0.63544,1.99002,85.9885,-5.56639,0.250286,68.8895,-10.06,0.437156,0.780367,62.8917,15.9282,12.9343,0.0001,north
-8.1904,0.466849,1.95272,143.223,2.10165,0.373031,121.759,10.06,0.273483,0.919477,107.94,12.428,8.33272,0.0001,south
-8.582,0.484134,2.04796,141.239,2.83901,0.483284,117.488,10.06,0.455624,0.811457,114.191,12.1229,8.09542,0.0001,south
-8.3001,0.504364,1.94898,139.956,2.03619,0.340894,121.4,10.06,0.234391,0.977919,107.334,12.3292,8.71093,0.0001,south
-8.667,0.408381,2.00856,147.822,3.58364,0.353458,124.165,10.06,0.211496,0.746729,111.628,11.3588,7.80619,0.0001,south
